     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040201  68 143
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.093 10040202  68 143
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     1.093 10040203  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040204  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.093 10040205  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040206  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.093 10040207  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.093 10040208  68 143
     0.000     1.000     0.000     1.000     0.000     0.973     0.026     0.000     1.000     1.093 10040210  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.093 10040211  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040214  68 143
     1.000     0.000     0.000     1.000     0.000     0.951     0.031     0.018     1.000     1.093 10040215  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040216  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.093 10040217  68 143
     0.000     0.000     1.000     0.000     0.000     0.478     0.001     0.521     3.000     1.093 10040218  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040219  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040220  68 143
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.093 10040221  68 143
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.302 10050401  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050402  72 155
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     1.302 10050403  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050404  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050405  72 155
     1.000     1.000     1.000     1.000     1.000     0.006     0.994     0.000     2.000     1.302 10050406  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050407  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050408  72 155
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.302 10050409  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050410  72 155
     0.000     1.000     0.000     0.000     1.000     0.926     0.074     0.000     1.000     1.302 10050411  72 155
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.302 10050412  72 155
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     1.302 10050413  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050414  72 155
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.302 10050415  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.302 10050416  72 155
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.302 10050417  72 155
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060301  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060302  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060303  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060304  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060306  19  39
     0.000     0.000     0.000         *     0.000     0.199     0.000     0.801     3.000     1.200 10060307  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060308  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060309  19  39
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.200 10060310  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060311  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060312  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060314  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060315  19  39
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.200 10060316  19  39
     0.000     0.000     1.000     1.000     0.000     0.849     0.003     0.148     1.000     1.200 10060318  19  39
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.217 10070101  53 113
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.217 10070102  53 113
     0.000     0.000     1.000     1.000     1.000     0.968     0.023     0.009     1.000     0.217 10070103  53 113
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.217 10070104  53 113
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.217 10070105  53 113
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.217 10070106  53 113
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.217 10070201  53 113
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     0.217 10070202  53 113
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     0.217 10070203  53 113
