     0.000     0.000     1.000     0.000     0.000     1.000     0.002     0.974     0.003     0.021     2.000     1.275 10010202  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010203  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010204  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010205  932 2675
     0.000     1.000     1.000     0.000     1.000     1.000     0.404     0.378     0.217     0.000     1.000     1.275 10010206  932 2675
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.245     0.002     0.753     4.000     1.275 10010207  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010208  932 2675
         *     0.000     1.000     1.000     1.000     0.000     0.018     0.828     0.151     0.003     2.000     1.275 10010209  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010210  932 2675
     0.000     0.000     0.000     1.000     0.000     1.000     0.001     0.923     0.003     0.073     2.000     1.275 10010211  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010212  932 2675
     1.000     1.000     1.000     1.000     1.000     1.000     0.986     0.006     0.008     0.000     1.000     1.275 10010213  932 2675
     0.000     1.000     0.000     1.000     1.000     0.000     0.002     0.076     0.922     0.001     3.000     1.275 10010214  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010215  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010216  932 2675
     0.000     0.000     1.000     1.000     0.000     0.000     0.001     0.952     0.021     0.026     2.000     1.275 10010217  932 2675
     0.000     0.000     0.000     1.000     0.000     1.000     0.001     0.923     0.003     0.073     2.000     1.275 10010218  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010219  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010221  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010223  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.275 10010225  932 2675
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020101  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020102  913 2639
     1.000     0.000     1.000     1.000     0.000     1.000     0.244     0.751     0.005     0.000     2.000     1.036 10020103  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020104  913 2639
     0.000     1.000     1.000     1.000     0.000     1.000     0.306     0.670     0.024     0.000     2.000     1.036 10020105  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020106  913 2639
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.007     0.001     0.992     4.000     1.036 10020107  913 2639
