     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010601  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010602  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010603  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010604  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010605  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010606  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010607  757 2330
     0.000     0.000     1.000     1.000     0.000     0.000     0.001     0.055     0.000     0.002     0.942     6.000     1.365 10010608  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010609  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010610  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010611  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010612  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010614  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010615  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010616  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010617  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010618  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010619  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010620  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010621  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010622  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010623  757 2330
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     1.365 10010624  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010625  757 2330
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.365 10010628  757 2330
     0.000     0.000     1.000     0.000     1.000     0.789     0.000     0.004     0.000     0.142     0.065     1.000     1.256 10020301  780 2376
     0.000     1.000     0.000     1.000     0.000     0.000     0.004     0.000     0.403     0.015     0.578     6.000     1.256 10020302  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020303  780 2376
     1.000     1.000     1.000     1.000     1.000     0.000     0.999     0.000     0.000     0.001     0.000     2.000     1.256 10020304  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020305  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020306  780 2376
     0.000     1.000     1.000     0.000     0.000     0.000     0.003     0.000     0.000     0.819     0.178     5.000     1.256 10020307  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020308  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020309  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020310  780 2376
     0.000     0.000     1.000     0.000     1.000     0.789     0.000     0.004     0.000     0.142     0.065     1.000     1.256 10020311  780 2376
     0.000     1.000     0.000     1.000     0.000     0.000     0.004     0.000     0.403     0.015     0.578     6.000     1.256 10020312  780 2376
     0.000     1.000     0.000     0.000     1.000     0.000     0.001     0.000     0.000     0.958     0.041     5.000     1.256 10020313  780 2376
     0.000     0.000     1.000     1.000     1.000     0.000     0.011     0.002     0.000     0.006     0.981     6.000     1.256 10020314  780 2376
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     1.256 10020315  780 2376
     0.000     0.000     1.000     1.000     0.000     0.000     0.001     0.055     0.000     0.002     0.942     6.000     0.939 10030701  799 2414
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.631     0.062     0.001     0.305     3.000     0.939 10030702  799 2414
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     0.939 10030703  799 2414
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     0.939 10030704  799 2414
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.966     0.000     0.020     0.013     3.000     0.939 10030705  799 2414
