     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010101  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010102  505 1777
     1.000     0.000     0.000     1.000     0.000     1.000     0.090     0.905     0.005     2.000     1.032 10010103  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010104  505 1777
     0.000     0.000     1.000     0.000     0.000     0.000     0.003     0.252     0.745     3.000     1.032 10010105  505 1777
     0.000     0.000     0.000     1.000     0.000     0.000     0.001     0.246     0.753     3.000     1.032 10010106  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010107  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010108  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010109  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010110  505 1777
     1.000     0.000     0.000     1.000     0.000     0.000     0.096     0.723     0.180     2.000     1.032 10010111  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010112  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010113  505 1777
     1.000     1.000         *     0.000     0.000     0.000     0.976     0.014     0.010     1.000     1.032 10010114  505 1777
     0.000     0.000     1.000     0.000     0.000     0.000     0.003     0.252     0.745     3.000     1.032 10010115  505 1777
     0.000     0.000     0.000     1.000     0.000     1.000     0.002     0.933     0.065     2.000     1.032 10010116  505 1777
     0.000     0.000     1.000     1.000     0.000     1.000     0.005     0.993     0.002     2.000     1.032 10010117  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010118  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010119  505 1777
     0.000     0.000     0.000     0.000     1.000         *     0.005     0.239     0.755     3.000     1.032 10010120  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010121  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010122  505 1777
     0.000     0.000     0.000     1.000     1.000     0.000     0.013     0.763     0.224     2.000     1.032 10010123  505 1777
     0.000     1.000     1.000     1.000     1.000     1.000     0.867     0.133     0.000     1.000     1.032 10010124  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     1.032 10010125  505 1777
     0.000     0.000     0.000     1.000     0.000     0.000     0.001     0.246     0.753     3.000     1.032 10010126  505 1777
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020401  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020403  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020404  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020405  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020406  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020407  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020408  510 1787
     0.000     0.000         *     1.000     0.000     0.000     0.001     0.323     0.675     3.000     0.896 10020409  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020410  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020411  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020412  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020413  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020414  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020415  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020416  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020417  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020418  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.896 10020419  510 1787
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030501  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030502  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030503  502 1769
     0.000     0.000     1.000     1.000     0.000     1.000     0.005     0.993     0.002     2.000     0.917 10030505  502 1769
     0.000     0.000     0.000     1.000     0.000     0.000     0.001     0.246     0.753     3.000     0.917 10030506  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030508  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030509  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030510  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030511  502 1769
     0.000     0.000     0.000     0.000     0.000     1.000     0.001     0.294     0.704     3.000     0.917 10030512  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030513  502 1769
     1.000     1.000     0.000     0.000     0.000     1.000     0.974     0.026     0.001     1.000     0.917 10030514  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030516  502 1769
     0.000     0.000     1.000     0.000     0.000     0.000     0.003     0.252     0.745     3.000     0.917 10030517  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030518  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030519  502 1769
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.991     3.000     0.917 10030520  502 1769
     1.000     0.000     1.000     1.000     0.000     0.000     0.233     0.762     0.005     2.000     0.917 10030521  502 1769
     0.000     0.000     0.000     1.000     0.000     0.000     0.001     0.246     0.753     3.000     0.917 10030522  502 1769
