     0.000     1.000     0.000     1.000     0.000     1.000     0.819     0.000     0.000     0.158     0.023     1.000     0.867 10010101 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010102 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010103 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010104 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010105 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010106 117 245
     0.000     0.000     0.000     1.000     0.000     1.000     0.386     0.000     0.478     0.011     0.125     3.000     0.867 10010107 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010108 117 245
     0.000     0.000     1.000     0.000     1.000     1.000     0.516     0.000     0.186     0.202     0.096     1.000     0.867 10010109 117 245
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.867 10010110 117 245
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.867 10010111 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010112 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010113 117 245
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.867 10010114 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010115 117 245
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.867 10010116 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010117 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010118 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010119 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010120 117 245
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.867 10010121 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010122 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010123 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010124 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010125 117 245
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.867 10010126 117 245
     0.000     0.000     0.000     1.000     0.000     1.000     0.386     0.000     0.478     0.011     0.125     3.000     0.856 10020301  96 203
     0.000     0.000     0.000     1.000     0.000     1.000     0.386     0.000     0.478     0.011     0.125     3.000     0.856 10020302  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020303  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020304  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020305  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020306  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020307  96 203
     0.000     0.000     0.000     1.000     0.000     0.000     0.213     0.000     0.061     0.004     0.721     5.000     0.856 10020308  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020309  96 203
     0.000     0.000     1.000     1.000     0.000     1.000     0.114     0.000     0.860     0.018     0.008     3.000     0.856 10020310  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020311  96 203
     0.000     0.000     0.000     1.000     0.000     1.000     0.386     0.000     0.478     0.011     0.125     3.000     0.856 10020312  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020313  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020314  96 203
     0.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.002     0.000     0.988     5.000     0.856 10020315  96 203
     0.000     0.000     0.000     0.000     0.000     1.000     0.083     0.000     0.082     0.006     0.829     5.000     0.856 10020316  96 203
     0.000     0.000     1.000     0.000     0.000     0.000     0.039     0.000     0.055     0.012     0.894     5.000     0.856 10020317  96 203
     0.000     1.000     0.000     0.000     0.000     0.000     0.095     0.000     0.000     0.034     0.870     5.000     0.856 10020318  96 203
     0.000     0.000     0.000     1.000     0.000     1.000     0.386     0.000     0.478     0.011     0.125     3.000     0.856 10020319  96 203
