     0.000     0.000     1.000     0.000     0.000     0.074     0.926     2.000     0.495 10010201 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010202 347 774
     0.000     0.000     1.000     1.000     0.000     0.732     0.268     1.000     0.495 10010203 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010204 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010205 347 774
     0.000     0.000     0.000     1.000     0.000     0.060     0.940     2.000     0.495 10010206 347 774
     0.000     0.000     0.000     1.000     0.000     0.060     0.940     2.000     0.495 10010207 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010208 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010209 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010210 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010211 347 774
     0.000     1.000     0.000     1.000     0.000     0.886     0.114     1.000     0.495 10010212 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010213 347 774
     1.000     0.000     0.000     0.000     0.000     0.515     0.485     1.000     0.495 10010214 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010215 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010216 347 774
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.495 10010217 347 774
     1.000     0.000     0.000     0.000     0.000     0.515     0.485     1.000     0.495 10010401 347 774
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.859 10020101 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020102 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020103 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020104 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020105 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020106 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020107 310 684
     0.000     0.000     1.000     1.000     0.000     0.732     0.268     1.000     0.859 10020108 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020109 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020110 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020111 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020112 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020113 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020114 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020115 310 684
     0.000     0.000     0.000     1.000     0.000     0.060     0.940     2.000     0.859 10020116 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020117 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020118 310 684
     0.000     0.000     0.000     1.000     0.000     0.060     0.940     2.000     0.859 10020119 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020121 310 684
     0.000     0.000     0.000     0.000     0.000     0.002     0.998     2.000     0.859 10020123 310 684
