         *     0.000         *         *     0.678     0.322     1.000     2.250 10010101 176 391
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040311 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040312 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040313 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040314 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040315 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040316 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040317 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040318 177 393
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.164 10040319 177 393
     0.000     0.000         *     0.000     0.829     0.171     1.000     1.164 10040320 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040322 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040323 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040324 177 393
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.164 10040325 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040326 177 393
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.164 10040327 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040328 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040329 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040330 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.164 10040331 177 393
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050101 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050103 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050104 218 473
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.283 10050105 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050106 218 473
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.283 10050107 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050108 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050109 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050110 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050111 218 473
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.283 10050112 218 473
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.283 10050113 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050114 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050115 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050116 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050117 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050118 218 473
     0.000     1.000     1.000     1.000     0.001     0.999     2.000     1.283 10050119 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.283 10050120 218 473
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.283 10050121 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050123 218 473
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.283 10050124 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050125 218 473
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.283 10050126 218 473
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.283 10050128 218 473
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060101 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060102 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060103 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060104 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060105 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060106 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060107 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060108 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060109 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060110 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060111 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060112 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060113 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060114 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060115 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060116 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060117 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060118 162 363
     0.000         *     1.000     1.000     0.003     0.997     2.000     0.605 10060119 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060120 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060121 162 363
     0.000         *         *         *     0.671     0.329     1.000     0.605 10060122 162 363
     1.000     1.000     0.000     0.000     0.174     0.826     2.000     0.605 10060123 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060124 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060125 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060126 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060127 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060128 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060129 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060130 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060131 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060132 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060133 162 363
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     0.605 10060134 162 363
     0.000         *         *         *     0.671     0.329     1.000     0.605 10060401 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060402 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060404 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060405 162 363
     1.000     0.000     1.000     1.000     0.000     1.000     2.000     0.605 10060406 162 363
     0.000     1.000     0.000     1.000     0.115     0.885     2.000     0.605 10060407 162 363
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     0.605 10060408 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060409 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060410 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060411 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060412 162 363
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     0.605 10060414 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060415 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060416 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060417 162 363
     0.000     1.000     0.000     0.000     0.785     0.215     1.000     0.605 10060418 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060419 162 363
     1.000     0.000     1.000     1.000     0.000     1.000     2.000     0.605 10060420 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060421 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060422 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060423 162 363
     0.000         *     0.000         *     0.853     0.147     1.000     0.605 10060424 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060425 162 363
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     0.605 10060426 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060428 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060429 162 363
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     0.605 10060430 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060431 162 363
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     0.605 10060432 162 363
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     0.605 10060433 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     0.605 10060434 162 363
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070101 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070102 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070103 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070104 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070105 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070107 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070108 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070109 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070110 179 397
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.231 10070111 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070112 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070113 179 397
     0.000     0.000     1.000     1.000     0.004     0.996     2.000     1.231 10070114 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070115 179 397
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.231 10070116 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070117 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070118 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070119 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070120 179 397
     1.000     0.000     0.000     1.000     0.027     0.973     2.000     1.231 10070121 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070122 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070123 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070124 179 397
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.231 10070125 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070126 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070127 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.231 10070128 179 397
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080201 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080202 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080203 151 342
     0.000     0.000     0.000     1.000     0.328     0.672     2.000     1.270 10080204 151 342
     0.000     0.000     1.000     0.000     0.090     0.910     2.000     1.270 10080205 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080206 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080208 151 342
     0.000     0.000     0.000     0.000     0.932     0.068     1.000     1.270 10080209 151 342
         *         *     1.000         *     0.038     0.962     2.000     1.270 10080210 151 342
